block_id,x,y,z,tonnage_kt,ore_grade_pct,waste_ratio,mining_cost_t,processing_cost_t,revenue_per_t,slope_constraint,period_available,ghg_kg_co2_per_t,stripping_ratio,npv_per_t,npv_expected,npv_std,npv_cv
B0000,800,750,-100,573.5,0.668,3.21,4.38,12.13,90.12,3,8,26.02,2.32,73.61,41899255.11622296,7199609.01458642,0.1718314321964832
B0001,850,550,-50,534.9,0.751,1.65,2.95,11.27,82.96,1,4,31.26,1.04,68.74,37340590.03463497,6553344.069599579,0.1755018885218759
B0002,850,250,-40,362.6,0.771,2.58,4.39,12.27,112.22,1,2,28.57,1.35,95.56,34127248.00911727,6052092.91435487,0.1773390257760609
B0003,450,300,-90,420.9,0.763,0.7,3.37,14.59,123.39,2,8,25.26,2.42,105.43,44445339.213040754,7922834.572472594,0.1782601890942019
B0004,150,550,-80,474.7,0.875,3.21,4.83,10.49,93.26,2,5,29.41,3.18,77.94,37849781.76820766,6332059.470265866,0.1672944776549425
B0005,950,900,-90,515.7,1.057,2.16,3.24,16.31,93.54,2,8,34.41,1.58,73.99,39123582.99981702,7436528.286628076,0.1900778946208187
B0006,800,200,-50,539.7,0.633,1.9,5.19,18.0,89.09,3,4,15.0,2.23,65.9,35604992.355815,7094945.752738195,0.1992682846786077
B0007,50,150,-100,546.4,0.843,2.5,3.9,13.32,86.69,2,4,29.25,2.69,69.47,38545506.32290088,7335146.855116762,0.1902983656167142
B0008,850,650,-40,544.2,0.731,2.37,3.78,14.11,98.24,2,5,22.52,2.99,80.35,44639133.78942074,7608465.147698405,0.1704438348555405
B0009,500,450,-10,576.0,0.722,2.08,5.05,11.1,87.64,3,1,21.52,2.7,71.49,41320105.510915816,7445084.756520855,0.1801806811590555
B0010,0,300,-90,496.4,0.967,2.12,4.5,12.01,108.85,3,10,18.16,2.58,92.34,45303778.02446356,7873936.542191609,0.1738030885181312
B0011,750,200,-60,469.8,1.011,2.42,4.84,12.45,82.31,1,3,29.39,2.17,65.02,30507082.20368207,5613478.988531659,0.1840057646632013
B0012,200,100,-100,464.1,0.66,2.52,4.2,13.59,93.55,3,8,30.2,1.33,75.76,35583490.23322811,6508919.794974774,0.182919656062763
B0013,250,950,-10,423.9,0.854,3.45,4.38,11.98,78.51,2,4,33.75,2.87,62.15,26539188.816406164,4553656.42699083,0.1715823516118858
